FIPS,lat,lon,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,shelter_count_nearby,shelter_capacity_nearby,hospital_count_nearby,hospital_beds_nearby,school_count_nearby,school_capacity_nearby,node_type
12027010200,27.234048426793976,-81.8612149807098,0.9777,0.9467,0.957,0.6581,0.9517,11,0.0,1,0.0,14,0.0,grid
12027010301,27.18631834065151,-81.85683212279146,0.9836,0.9556,0.9467,0.7366,0.9657,11,0.0,1,0.0,14,0.0,grid
12027010302,27.1946105760689,-81.87789967216602,0.9341,0.9258,0.912,0.8583,0.7943,11,0.0,1,0.0,14,0.0,grid
12027010403,27.138377298231504,-81.9933480001232,0.332,0.2899,0.7746,0.0965,0.2998,11,0.0,3,0.0,31,0.0,grid
12027010404,27.27530619097039,-81.95964762303652,0.9028,0.9316,0.7852,0.5006,0.8489,11,0.0,1,0.0,13,0.0,grid
12027010405,27.058224944908467,-81.9797695208302,0.2797,0.3249,0.326,0.0787,0.4158,0,0.0,3,0.0,36,0.0,grid
12027010406,27.095489069880976,-81.8764308709512,0.6233,0.5753,0.4548,0.5333,0.7162,11,0.0,1,0.0,17,0.0,grid
12029970101,29.648727147475405,-83.12124675515503,0.6836,0.5404,0.642,0.4203,0.8294,10,0.0,0,0.0,7,0.0,grid
12029970103,29.752370289910054,-83.12231065046393,0.5519,0.7424,0.2702,0.065,0.6095,10,0.0,0,0.0,6,0.0,grid
12029970104,29.645026698882383,-83.023845543435,0.4998,0.6694,0.5318,0.0516,0.397,14,0.0,0,0.0,12,0.0,grid
12029970201,29.45611155063068,-83.1219644229972,0.7663,0.8034,0.8349,0.1341,0.7203,10,0.0,0,0.0,2,0.0,grid
12029970202,29.590086725078077,-83.25132175303285,0.3653,0.3817,0.5148,0.0756,0.4233,10,0.0,0,0.0,7,0.0,grid
12031000101,30.38061625344775,-81.6417728133586,0.6079,0.5992,0.658,0.4841,0.542,37,0.0,17,0.0,206,0.0,grid
12031000102,30.37887678607991,-81.65002745820297,0.8245,0.9533,0.9069,0.7474,0.2726,37,0.0,17,0.0,205,0.0,grid
12031000200,30.362389032590574,-81.63166942720962,0.9596,0.9465,0.9422,0.9506,0.8053,47,0.0,17,0.0,215,0.0,grid
12031000300,30.35054824800341,-81.63075885189795,0.8489,0.9791,0.8398,0.7762,0.3318,50,0.0,17,0.0,219,0.0,grid
12031000600,30.303637341289036,-81.63739972101257,0.9272,0.8047,0.8542,0.7069,0.9726,58,0.0,19,0.0,249,0.0,grid
12031000700,30.295599342922795,-81.65319168898182,0.5108,0.4422,0.8026,0.3801,0.4221,64,0.0,18,0.0,257,0.0,grid
12031000800,30.31339487642253,-81.6577297076362,0.2728,0.2495,0.1972,0.2872,0.5187,57,0.0,18,0.0,250,0.0,grid
12031001000,30.33203780866937,-81.65213923329851,0.8765,0.9205,0.23,0.7193,0.9501,49,0.0,17,0.0,238,0.0,grid
12031001100,30.339838720994667,-81.65278916986699,0.6513,0.5852,0.6639,0.5476,0.6355,49,0.0,17,0.0,226,0.0,grid
12031001200,30.347112894676684,-81.65325093127343,0.4931,0.5286,0.0797,0.4919,0.7467,49,0.0,17,0.0,220,0.0,grid
12031001300,30.35853906656076,-81.65762194184343,0.9235,0.9592,0.8367,0.9364,0.701,39,0.0,17,0.0,213,0.0,grid
12031001401,30.380272015510837,-81.66644056237917,0.8631,0.8191,0.8087,0.8933,0.7525,37,0.0,17,0.0,204,0.0,grid
12031001402,30.369122748453734,-81.66632759532824,0.8199,0.7886,0.9531,0.8705,0.4647,39,0.0,17,0.0,210,0.0,grid
12031001500,30.356201505356246,-81.67077760959792,0.8791,0.9438,0.6748,0.9917,0.614,40,0.0,17,0.0,215,0.0,grid
12031001600,30.34472986753738,-81.66789517852878,0.9688,0.931,0.9819,0.9248,0.8262,48,0.0,17,0.0,223,0.0,grid
12031002101,30.30943290150354,-81.70282488255701,0.2026,0.3213,0.0527,0.4354,0.3335,42,0.0,18,0.0,245,0.0,grid
12031002102,30.296712519769883,-81.6907113163752,0.2037,0.2199,0.1777,0.1732,0.4166,55,0.0,18,0.0,257,0.0,grid
12031002200,30.293238865882127,-81.70546216019613,0.0876,0.1045,0.0905,0.1067,0.3049,41,0.0,18,0.0,252,0.0,grid
12031002300,30.28319018749282,-81.7135062437567,0.1061,0.0596,0.3643,0.0583,0.2787,41,0.0,18,0.0,250,0.0,grid
12031002400,30.273793795415386,-81.70536754462428,0.0412,0.0148,0.2736,0.0457,0.1564,41,0.0,18,0.0,256,0.0,grid
12031002501,30.31586714277911,-81.7085928759056,0.7574,0.7542,0.5012,0.6187,0.7907,40,0.0,18,0.0,241,0.0,grid
12031002502,30.31327825343433,-81.72264239633871,0.2767,0.4416,0.2043,0.2285,0.2897,42,0.0,18,0.0,240,0.0,grid
12031002600,30.327316339135713,-81.69383130265143,0.9051,0.9716,0.5235,0.8717,0.7836,45,0.0,18,0.0,239,0.0,grid
12031002701,30.345246418700043,-81.70871091764303,0.7536,0.8132,0.8424,0.9043,0.3491,26,0.0,17,0.0,217,0.0,grid
12031002702,30.335698810526768,-81.71390644753338,0.8694,0.8893,0.6728,0.8443,0.7613,27,0.0,18,0.0,226,0.0,grid
12031002801,30.35721133330719,-81.69866249133356,0.8663,0.8903,0.9024,0.9494,0.5268,23,0.0,17,0.0,207,0.0,grid
12031002802,30.343583131963477,-81.68979213808986,0.9493,0.9254,0.7824,0.9293,0.9107,41,0.0,17,0.0,225,0.0,grid
12031002901,30.360331800850602,-81.68265136670519,0.9357,0.9217,0.9193,0.961,0.7696,35,0.0,17,0.0,212,0.0,grid
12031002902,30.347712118250428,-81.68088652968123,0.916,0.9775,0.6726,0.8778,0.7245,46,0.0,17,0.0,220,0.0,grid
12031010101,30.502358269875092,-81.6006537294807,0.3968,0.4239,0.1702,0.572,0.4913,20,0.0,5,0.0,96,0.0,grid
12031010104,30.421887491938126,-81.5512988727604,0.2464,0.1738,0.2323,0.4787,0.4355,39,0.0,16,0.0,168,0.0,grid
12031010105,30.43883284495439,-81.4649492686638,0.0966,0.0394,0.5633,0.3596,0.1045,28,0.0,3,0.0,85,0.0,grid
12031010106,30.483337817601264,-81.56405191392683,0.0763,0.1122,0.1349,0.4856,0.0949,34,0.0,6,0.0,112,0.0,grid
12031010107,30.507813781885723,-81.52179794396012,0.2201,0.4957,0.1619,0.2407,0.1274,21,0.0,2,0.0,62,0.0,grid
12031010202,30.41878417967495,-81.62603535372811,0.4416,0.5507,0.6848,0.4089,0.1892,37,0.0,15,0.0,182,0.0,grid
