facility_id,facility_type,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
shelter_0,shelter,0.1097,0.6734,0.5022,0.3905,0.2994
shelter_1,shelter,0.5787,0.0008,0.5254,0.8065,0.3341
shelter_2,shelter,0.0574,0.5521,0.3959,0.5821,0.2783
shelter_3,shelter,0.5118,0.3832,0.5423,0.8684,0.6544
shelter_4,shelter,0.0339,0.0357,0.3909,0.2744,0.0519
shelter_5,shelter,0.3984,0.7205,0.5778,0.3789,0.483
shelter_6,shelter,0.0339,0.0357,0.3909,0.2744,0.0519
shelter_7,shelter,0.0712,0.246,0.3801,0.4178,0.1673
shelter_8,shelter,0.5574,0.114,0.3724,0.715,0.4945
shelter_9,shelter,0.5053,0.1002,0.2573,0.7142,0.4391
shelter_10,shelter,0.7402,0.929,0.7565,0.8195,0.8716
shelter_11,shelter,0.5787,0.0008,0.5254,0.8065,0.3341
shelter_12,shelter,0.9233,0.6761,0.9785,0.8775,0.9278
shelter_13,shelter,0.1893,0.3172,0.4333,0.4075,0.2588
shelter_14,shelter,0.5118,0.3832,0.5423,0.8684,0.6544
shelter_15,shelter,0.5787,0.0008,0.5254,0.8065,0.3341
shelter_16,shelter,0.7592,0.7858,0.726,0.5586,0.7542
shelter_17,shelter,0.703,0.2876,0.6445,0.9899,0.8278
shelter_18,shelter,0.5195,0.8915,0.4961,0.8193,0.74
shelter_19,shelter,0.0339,0.0357,0.3909,0.2744,0.0519
shelter_20,shelter,0.703,0.2876,0.6445,0.9899,0.8278
shelter_21,shelter,0.7799,0.744,0.4994,0.5448,0.7221
shelter_22,shelter,0.6373,0.0004,0.4736,0.7586,0.3101
shelter_23,shelter,0.5195,0.8915,0.4961,0.8193,0.74
shelter_24,shelter,0.0712,0.246,0.3801,0.4178,0.1673
shelter_25,shelter,0.4353,0.6229,0.2238,0.9493,0.6755
shelter_26,shelter,0.5085,0.687,0.2955,0.6276,0.5759
shelter_27,shelter,0.5085,0.687,0.2955,0.6276,0.5759
shelter_28,shelter,0.2826,0.3045,0.0583,0.2325,0.1862
shelter_29,shelter,0.4353,0.6229,0.2238,0.9493,0.6755
shelter_30,shelter,0.5085,0.687,0.2955,0.6276,0.5759
shelter_31,shelter,0.5085,0.687,0.2955,0.6276,0.5759
shelter_32,shelter,0.4353,0.6229,0.2238,0.9493,0.6755
shelter_33,shelter,0.4353,0.6229,0.2238,0.9493,0.6755
shelter_34,shelter,0.5085,0.687,0.2955,0.6276,0.5759
shelter_35,shelter,0.5085,0.687,0.2955,0.6276,0.5759
shelter_36,shelter,0.7795,0.4195,0.4892,0.6351,0.6838
shelter_37,shelter,0.9014,0.9282,0.536,0.9365,0.9438
shelter_38,shelter,0.9014,0.9282,0.536,0.9365,0.9438
shelter_39,shelter,0.3199,0.0404,0.3724,0.7355,0.3264
shelter_40,shelter,0.6014,0.9211,0.45,0.7128,0.7379
shelter_41,shelter,0.8217,0.9018,0.1415,0.6406,0.7722
shelter_42,shelter,0.9882,0.9856,0.6917,0.9897,0.9974
shelter_43,shelter,0.541,0.513,0.188,0.7497,0.5815
shelter_44,shelter,0.312,0.8988,0.2791,0.3769,0.4475
shelter_45,shelter,0.8217,0.9018,0.1415,0.6406,0.7722
shelter_46,shelter,0.4282,0.7564,0.1201,0.3377,0.4174
shelter_47,shelter,0.1154,0.4663,0.2047,0.6036,0.2842
shelter_48,shelter,0.7795,0.4195,0.4892,0.6351,0.6838
shelter_49,shelter,0.8217,0.9018,0.1415,0.6406,0.7722
shelter_50,shelter,0.9661,0.9905,0.6738,0.9142,0.986
shelter_51,shelter,0.3199,0.0404,0.3724,0.7355,0.3264
shelter_52,shelter,0.8915,0.7584,0.403,0.671,0.8166
shelter_53,shelter,0.3199,0.0404,0.3724,0.7355,0.3264
shelter_54,shelter,0.8217,0.9018,0.1415,0.6406,0.7722
shelter_55,shelter,0.9014,0.9282,0.536,0.9365,0.9438
shelter_56,shelter,0.8217,0.9018,0.1415,0.6406,0.7722
shelter_57,shelter,0.6014,0.9211,0.45,0.7128,0.7379
shelter_58,shelter,0.5292,0.3621,0.3106,0.6339,0.5152
shelter_59,shelter,0.9882,0.9856,0.6917,0.9897,0.9974
shelter_60,shelter,0.3199,0.0404,0.3724,0.7355,0.3264
shelter_61,shelter,0.8217,0.9018,0.1415,0.6406,0.7722
shelter_62,shelter,0.9014,0.9282,0.536,0.9365,0.9438
shelter_63,shelter,0.8217,0.9018,0.1415,0.6406,0.7722
shelter_64,shelter,0.3199,0.0404,0.3724,0.7355,0.3264
shelter_65,shelter,0.3824,0.4095,0.1384,0.2501,0.2732
shelter_66,shelter,0.8915,0.7584,0.403,0.671,0.8166
shelter_67,shelter,0.6264,0.9588,0.3724,0.8,0.7982
shelter_68,shelter,0.4282,0.7564,0.1201,0.3377,0.4174
shelter_69,shelter,0.8915,0.7584,0.403,0.671,0.8166
shelter_70,shelter,0.9661,0.9905,0.6738,0.9142,0.986
shelter_71,shelter,0.7008,0.3189,0.3039,0.7964,0.6578
shelter_72,shelter,0.7008,0.3189,0.3039,0.7964,0.6578
shelter_73,shelter,0.6619,0.3444,0.1593,0.4574,0.4919
shelter_74,shelter,0.7008,0.3189,0.3039,0.7964,0.6578
shelter_75,shelter,0.7008,0.3189,0.3039,0.7964,0.6578
shelter_76,shelter,0.7008,0.3189,0.3039,0.7964,0.6578
shelter_77,shelter,0.1178,0.7114,0.1833,0.014,0.0775
shelter_78,shelter,0.1178,0.7114,0.1833,0.014,0.0775
shelter_79,shelter,0.0351,0.1907,0.3,0.5053,0.1414
shelter_80,shelter,0.1558,0.3124,0.1301,0.1852,0.1264
shelter_81,shelter,0.2714,0.3582,0.1465,0.3803,0.26
shelter_82,shelter,0.526,0.8357,0.4811,0.1767,0.4793
shelter_83,shelter,0.099,0.0479,0.0163,0.03,0.0103
shelter_84,shelter,0.1911,0.3191,0.4856,0.2256,0.2012
shelter_85,shelter,0.526,0.8357,0.4811,0.1767,0.4793
shelter_86,shelter,0.3596,0.5178,0.4293,0.0895,0.2456
shelter_87,shelter,0.7862,0.1477,0.65,0.6521,0.6501
shelter_88,shelter,0.1911,0.3191,0.4856,0.2256,0.2012
shelter_89,shelter,0.3974,0.557,0.3835,0.4213,0.4241
shelter_90,shelter,0.2379,0.9272,0.5423,0.3418,0.4456
shelter_91,shelter,0.6024,0.4848,0.2972,0.0193,0.2523
shelter_92,shelter,0.1178,0.7114,0.1833,0.014,0.0775
shelter_93,shelter,0.099,0.0479,0.0163,0.03,0.0103
shelter_94,shelter,0.2714,0.3582,0.1465,0.3803,0.26
shelter_95,shelter,0.0351,0.1907,0.3,0.5053,0.1414
shelter_96,shelter,0.099,0.0479,0.0163,0.03,0.0103
shelter_97,shelter,0.3957,0.4442,0.0037,0.2442,0.2647
shelter_98,shelter,0.1911,0.3191,0.4856,0.2256,0.2012
shelter_99,shelter,0.526,0.8357,0.4811,0.1767,0.4793
shelter_100,shelter,0.2404,0.6454,0.3742,0.5446,0.4116
shelter_101,shelter,0.099,0.0479,0.0163,0.03,0.0103
shelter_102,shelter,0.526,0.8357,0.4811,0.1767,0.4793
shelter_103,shelter,0.526,0.8357,0.4811,0.1767,0.4793
shelter_104,shelter,0.7197,0.8037,0.6557,0.8051,0.8168
shelter_105,shelter,0.1911,0.3191,0.4856,0.2256,0.2012
shelter_106,shelter,0.6024,0.4848,0.2972,0.0193,0.2523
shelter_107,shelter,0.2714,0.3582,0.1465,0.3803,0.26
shelter_108,shelter,0.6992,0.4087,0.1356,0.3874,0.4972
shelter_109,shelter,0.2379,0.9272,0.5423,0.3418,0.4456
shelter_110,shelter,0.2714,0.3582,0.1465,0.3803,0.26
shelter_111,shelter,0.526,0.8357,0.4811,0.1767,0.4793
shelter_112,shelter,0.1178,0.7114,0.1833,0.014,0.0775
shelter_113,shelter,0.099,0.0479,0.0163,0.03,0.0103
shelter_114,shelter,0.3596,0.5178,0.4293,0.0895,0.2456
shelter_115,shelter,0.2379,0.9272,0.5423,0.3418,0.4456
shelter_116,shelter,0.099,0.0479,0.0163,0.03,0.0103
shelter_117,shelter,0.0351,0.1907,0.3,0.5053,0.1414
shelter_118,shelter,0.7197,0.8037,0.6557,0.8051,0.8168
shelter_119,shelter,0.526,0.8357,0.4811,0.1767,0.4793
shelter_120,shelter,0.8221,0.6266,0.3608,0.6077,0.7219
shelter_121,shelter,0.1178,0.7114,0.1833,0.014,0.0775
shelter_122,shelter,0.1178,0.7114,0.1833,0.014,0.0775
shelter_123,shelter,0.7197,0.8037,0.6557,0.8051,0.8168
shelter_124,shelter,0.6024,0.4848,0.2972,0.0193,0.2523
shelter_125,shelter,0.6024,0.4848,0.2972,0.0193,0.2523
shelter_126,shelter,0.0351,0.1907,0.3,0.5053,0.1414
shelter_127,shelter,0.1911,0.3191,0.4856,0.2256,0.2012
shelter_128,shelter,0.3974,0.557,0.3835,0.4213,0.4241
shelter_129,shelter,0.099,0.0479,0.0163,0.03,0.0103
shelter_130,shelter,0.4905,0.3564,0.161,0.2596,0.3266
shelter_131,shelter,0.2714,0.3582,0.1465,0.3803,0.26
shelter_132,shelter,0.3596,0.5178,0.4293,0.0895,0.2456
shelter_133,shelter,0.2404,0.6454,0.3742,0.5446,0.4116
shelter_134,shelter,0.099,0.0479,0.0163,0.03,0.0103
shelter_135,shelter,0.6024,0.4848,0.2972,0.0193,0.2523
shelter_136,shelter,0.2714,0.3582,0.1465,0.3803,0.26
shelter_137,shelter,0.7197,0.8037,0.6557,0.8051,0.8168
shelter_138,shelter,0.2379,0.9272,0.5423,0.3418,0.4456
shelter_139,shelter,0.7972,0.6753,0.6179,0.459,0.7051
shelter_140,shelter,0.1178,0.7114,0.1833,0.014,0.0775
shelter_141,shelter,0.1911,0.3191,0.4856,0.2256,0.2012
shelter_142,shelter,0.2404,0.6454,0.3742,0.5446,0.4116
shelter_143,shelter,0.3974,0.557,0.3835,0.4213,0.4241
shelter_144,shelter,0.5649,0.6521,0.153,0.2826,0.441
shelter_145,shelter,0.526,0.8357,0.4811,0.1767,0.4793
shelter_146,shelter,0.0351,0.1907,0.3,0.5053,0.1414
shelter_147,shelter,0.1178,0.7114,0.1833,0.014,0.0775
shelter_148,shelter,0.2099,0.8209,0.377,0.088,0.2341
shelter_149,shelter,0.3974,0.557,0.3835,0.4213,0.4241
shelter_150,shelter,0.526,0.8357,0.4811,0.1767,0.4793
shelter_151,shelter,0.5961,0.6101,0.4533,0.5627,0.6004
shelter_152,shelter,0.2714,0.3582,0.1465,0.3803,0.26
shelter_153,shelter,0.1178,0.7114,0.1833,0.014,0.0775
shelter_154,shelter,0.3582,0.0716,0.1398,0.1886,0.1438
shelter_155,shelter,0.526,0.8357,0.4811,0.1767,0.4793
shelter_156,shelter,0.1178,0.7114,0.1833,0.014,0.0775
shelter_157,shelter,0.3974,0.557,0.3835,0.4213,0.4241
shelter_158,shelter,0.0351,0.1907,0.3,0.5053,0.1414
shelter_159,shelter,0.2379,0.9272,0.5423,0.3418,0.4456
shelter_160,shelter,0.7197,0.8037,0.6557,0.8051,0.8168
shelter_161,shelter,0.8779,0.3978,0.7748,0.8154,0.8339
shelter_162,shelter,0.1178,0.7114,0.1833,0.014,0.0775
shelter_163,shelter,0.5649,0.6521,0.153,0.2826,0.441
shelter_164,shelter,0.3596,0.5178,0.4293,0.0895,0.2456
shelter_165,shelter,0.8221,0.6266,0.3608,0.6077,0.7219
shelter_166,shelter,0.526,0.8357,0.4811,0.1767,0.4793
shelter_167,shelter,0.099,0.0479,0.0163,0.03,0.0103
shelter_168,shelter,0.099,0.0479,0.0163,0.03,0.0103
shelter_169,shelter,0.6024,0.4848,0.2972,0.0193,0.2523
shelter_170,shelter,0.7972,0.6753,0.6179,0.459,0.7051
shelter_171,shelter,0.7862,0.1477,0.65,0.6521,0.6501
shelter_172,shelter,0.2714,0.3582,0.1465,0.3803,0.26
shelter_173,shelter,0.2404,0.6454,0.3742,0.5446,0.4116
shelter_174,shelter,0.4004,0.2828,0.1992,0.0893,0.1765
shelter_175,shelter,0.1911,0.3191,0.4856,0.2256,0.2012
shelter_176,shelter,0.8043,0.8432,0.7516,0.5838,0.8071
shelter_177,shelter,0.0604,0.3807,0.7014,0.0032,0.0369
shelter_178,shelter,0.2679,0.874,0.7915,0.4302,0.5124
shelter_179,shelter,0.2807,0.2602,0.7187,0.489,0.3726
shelter_180,shelter,0.0706,0.4633,0.7675,0.1495,0.1667
shelter_181,shelter,0.8355,0.4152,0.5407,0.9227,0.8341
shelter_182,shelter,0.5746,0.1807,0.6967,0.4986,0.4945
shelter_183,shelter,0.6742,0.3404,0.7652,0.9012,0.7615
shelter_184,shelter,0.8124,0.6444,0.5472,0.8302,0.8223
shelter_185,shelter,0.7288,0.984,0.9417,0.9201,0.9389
shelter_186,shelter,0.1276,0.3724,0.8451,0.0872,0.1598
shelter_187,shelter,0.0462,0.2207,0.5488,0.0505,0.0529
shelter_188,shelter,0.9221,0.857,0.9272,0.9955,0.987
shelter_189,shelter,0.3606,0.5511,0.6963,0.683,0.5501
shelter_190,shelter,0.2602,0.3353,0.8283,0.1036,0.2256
shelter_191,shelter,0.7288,0.984,0.9417,0.9201,0.9389
shelter_192,shelter,0.0556,0.2416,0.8512,0.5536,0.2621
shelter_193,shelter,0.9018,0.7316,0.8057,0.9653,0.9444
shelter_194,shelter,0.8408,0.4304,0.9215,0.8562,0.8499
shelter_195,shelter,0.4694,0.328,0.6482,0.4333,0.4542
shelter_196,shelter,0.1047,0.071,0.7929,0.026,0.0465
shelter_197,shelter,0.1061,0.3229,0.735,0.529,0.2974
shelter_198,shelter,0.2925,0.2613,0.8821,0.0978,0.2254
shelter_199,shelter,0.8183,0.9688,0.9417,0.83,0.931
shelter_200,shelter,0.0968,0.3302,0.772,0.0112,0.0667
shelter_201,shelter,0.231,0.3584,0.8372,0.2067,0.272
shelter_202,shelter,0.184,0.259,0.8439,0.1501,0.1976
shelter_203,shelter,0.5124,0.6489,0.5965,0.5844,0.6006
shelter_204,shelter,0.5391,0.6286,0.5571,0.2004,0.4517
shelter_205,shelter,0.7089,0.9736,0.7146,0.8075,0.874
shelter_206,shelter,0.3909,0.9097,0.747,0.2564,0.516
shelter_207,shelter,0.329,0.389,0.8953,0.631,0.5107
shelter_208,shelter,0.8043,0.8432,0.7516,0.5838,0.8071
shelter_209,shelter,0.8907,0.6464,0.8022,0.9728,0.9355
shelter_210,shelter,0.3805,0.4878,0.9506,0.0069,0.2063
shelter_211,shelter,0.3592,0.4122,0.1134,0.6424,0.4164
shelter_212,shelter,0.8763,0.4627,0.6299,0.8722,0.8477
shelter_213,shelter,0.8763,0.4627,0.6299,0.8722,0.8477
shelter_214,shelter,0.3592,0.4122,0.1134,0.6424,0.4164
shelter_215,shelter,0.6959,0.6335,0.0841,0.4404,0.5554
shelter_216,shelter,0.8763,0.4627,0.6299,0.8722,0.8477
shelter_217,shelter,0.8763,0.4627,0.6299,0.8722,0.8477
shelter_218,shelter,0.3592,0.4122,0.1134,0.6424,0.4164
shelter_219,shelter,0.3592,0.4122,0.1134,0.6424,0.4164
shelter_220,shelter,0.8763,0.4627,0.6299,0.8722,0.8477
shelter_221,shelter,0.8262,0.9913,0.2472,0.3907,0.7872
shelter_222,shelter,0.8262,0.9913,0.2472,0.3907,0.7872
shelter_223,shelter,0.8262,0.9913,0.2472,0.3907,0.7872
shelter_224,shelter,0.2179,0.5235,0.0951,0.6992,0.3888
shelter_225,shelter,0.629,0.6045,0.1685,0.7826,0.6582
shelter_226,shelter,0.8262,0.9913,0.2472,0.3907,0.7872
shelter_227,shelter,0.8262,0.9913,0.2472,0.3907,0.7872
shelter_228,shelter,0.8262,0.9913,0.2472,0.3907,0.7872
shelter_229,shelter,0.629,0.6045,0.1685,0.7826,0.6582
shelter_230,shelter,0.8262,0.9913,0.2472,0.3907,0.7872
shelter_231,shelter,0.8262,0.9913,0.2472,0.3907,0.7872
shelter_232,shelter,0.1359,0.2481,0.251,0.0533,0.068
shelter_233,shelter,0.7101,0.1174,0.0874,0.3617,0.4008
shelter_234,shelter,0.512,0.2077,0.524,0.2353,0.3469
shelter_235,shelter,0.1724,0.4069,0.2673,0.1698,0.1604
shelter_236,shelter,0.1006,0.3467,0.6079,0.3783,0.2302
shelter_237,shelter,0.4371,0.7945,0.0478,0.8371,0.6185
shelter_238,shelter,0.4811,0.0649,0.3124,0.4314,0.3045
shelter_239,shelter,0.1724,0.4069,0.2673,0.1698,0.1604
shelter_240,shelter,0.1724,0.4069,0.2673,0.1698,0.1604
shelter_241,shelter,0.0022,0.2428,0.464,0.0637,0.0229
shelter_242,shelter,0.556,0.7065,0.2652,0.4848,0.5438
shelter_243,shelter,0.3262,0.8199,0.5415,0.5976,0.5469
shelter_244,shelter,0.7101,0.1174,0.0874,0.3617,0.4008
shelter_245,shelter,0.4022,0.4722,0.1732,0.3452,0.3483
shelter_246,shelter,0.1006,0.3467,0.6079,0.3783,0.2302
shelter_247,shelter,0.512,0.2077,0.524,0.2353,0.3469
shelter_248,shelter,0.1006,0.3467,0.6079,0.3783,0.2302
shelter_249,shelter,0.1978,0.6815,0.337,0.3249,0.3037
shelter_250,shelter,0.7254,0.798,0.4961,0.8594,0.8213
shelter_251,shelter,0.1006,0.3467,0.6079,0.3783,0.2302
shelter_252,shelter,0.556,0.7065,0.2652,0.4848,0.5438
shelter_253,shelter,0.1006,0.3467,0.6079,0.3783,0.2302
shelter_254,shelter,0.1359,0.2481,0.251,0.0533,0.068
shelter_255,shelter,0.357,0.7036,0.5923,0.1329,0.3497
shelter_256,shelter,0.8592,0.7868,0.8833,0.828,0.8992
shelter_257,shelter,0.8592,0.7868,0.8833,0.828,0.8992
shelter_258,shelter,0.9558,0.8931,0.961,1.0,0.9976
shelter_259,shelter,0.8771,0.4671,0.9728,0.9921,0.9418
shelter_260,shelter,0.9558,0.8931,0.961,1.0,0.9976
shelter_261,shelter,0.8592,0.7868,0.8833,0.828,0.8992
shelter_262,shelter,0.8771,0.4671,0.9728,0.9921,0.9418
shelter_263,shelter,0.8771,0.4671,0.9728,0.9921,0.9418
shelter_264,shelter,0.2649,0.6947,0.2026,0.729,0.4842
shelter_265,shelter,0.5874,0.5022,0.0874,0.4517,0.4728
shelter_266,shelter,0.7166,0.9049,0.4939,0.9237,0.8686
shelter_267,shelter,0.7166,0.9049,0.4939,0.9237,0.8686
shelter_268,shelter,0.4996,0.583,0.3106,0.312,0.4264
shelter_269,shelter,0.5874,0.5022,0.0874,0.4517,0.4728
shelter_270,shelter,0.4996,0.583,0.3106,0.312,0.4264
shelter_271,shelter,0.4604,0.6448,0.3238,0.2479,0.4065
shelter_272,shelter,0.7166,0.9049,0.4939,0.9237,0.8686
shelter_273,shelter,0.4996,0.583,0.3106,0.312,0.4264
shelter_274,shelter,0.7166,0.9049,0.4939,0.9237,0.8686
shelter_275,shelter,0.5874,0.5022,0.0874,0.4517,0.4728
shelter_276,shelter,0.5874,0.5022,0.0874,0.4517,0.4728
shelter_277,shelter,0.4996,0.583,0.3106,0.312,0.4264
shelter_278,shelter,0.7166,0.9049,0.4939,0.9237,0.8686
shelter_279,shelter,0.4604,0.6448,0.3238,0.2479,0.4065
shelter_280,shelter,0.2649,0.6947,0.2026,0.729,0.4842
shelter_281,shelter,0.7166,0.9049,0.4939,0.9237,0.8686
shelter_282,shelter,0.7166,0.9049,0.4939,0.9237,0.8686
shelter_283,shelter,0.7166,0.9049,0.4939,0.9237,0.8686
shelter_284,shelter,0.4996,0.583,0.3106,0.312,0.4264
shelter_285,shelter,0.7166,0.9049,0.4939,0.9237,0.8686
shelter_286,shelter,0.9467,0.957,0.6581,0.9517,0.9777
shelter_287,shelter,0.9467,0.957,0.6581,0.9517,0.9777
shelter_288,shelter,0.9467,0.957,0.6581,0.9517,0.9777
shelter_289,shelter,0.9467,0.957,0.6581,0.9517,0.9777
shelter_290,shelter,0.9467,0.957,0.6581,0.9517,0.9777
shelter_291,shelter,0.9467,0.957,0.6581,0.9517,0.9777
shelter_292,shelter,0.7055,0.9235,0.3329,0.8688,0.8343
shelter_293,shelter,0.9467,0.957,0.6581,0.9517,0.9777
shelter_294,shelter,0.9467,0.957,0.6581,0.9517,0.9777
shelter_295,shelter,0.5404,0.642,0.4203,0.8294,0.6836
shelter_296,shelter,0.5404,0.642,0.4203,0.8294,0.6836
shelter_297,shelter,0.5404,0.642,0.4203,0.8294,0.6836
shelter_298,shelter,0.5404,0.642,0.4203,0.8294,0.6836
shelter_299,shelter,0.5404,0.642,0.4203,0.8294,0.6836
shelter_300,shelter,0.5404,0.642,0.4203,0.8294,0.6836
shelter_301,shelter,0.5404,0.642,0.4203,0.8294,0.6836
shelter_302,shelter,0.5404,0.642,0.4203,0.8294,0.6836
shelter_303,shelter,0.5404,0.642,0.4203,0.8294,0.6836
shelter_304,shelter,0.0197,0.1452,0.6543,0.5519,0.169
shelter_305,shelter,0.9592,0.8367,0.9364,0.701,0.9235
shelter_306,shelter,0.0901,0.3819,0.5059,0.6428,0.3091
shelter_307,shelter,0.1499,0.2138,0.573,0.0988,0.1126
shelter_308,shelter,0.8047,0.8542,0.7069,0.9726,0.9272
shelter_309,shelter,0.0961,0.0325,0.5654,0.1803,0.0669
shelter_310,shelter,0.0391,0.225,0.5955,0.1152,0.0761
shelter_311,shelter,0.3876,0.6793,0.364,0.7075,0.5529
shelter_312,shelter,0.0763,0.6625,0.3543,0.1333,0.1495
shelter_313,shelter,0.8047,0.8542,0.7069,0.9726,0.9272
shelter_314,shelter,0.1499,0.2138,0.573,0.0988,0.1126
shelter_315,shelter,0.3876,0.6793,0.364,0.7075,0.5529
shelter_316,shelter,0.7586,0.4858,0.5264,0.4686,0.6337
shelter_317,shelter,0.8138,0.6592,0.6557,0.1483,0.5931
shelter_318,shelter,0.0197,0.1452,0.6543,0.5519,0.169
shelter_319,shelter,0.0763,0.6625,0.3543,0.1333,0.1495
shelter_320,shelter,0.2389,0.4221,0.5333,0.1584,0.226
shelter_321,shelter,0.8047,0.8542,0.7069,0.9726,0.9272
shelter_322,shelter,0.0901,0.3819,0.5059,0.6428,0.3091
shelter_323,shelter,0.2805,0.4874,0.7902,0.5852,0.4732
shelter_324,shelter,0.4412,0.1734,0.5848,0.2773,0.3205
shelter_325,shelter,0.4698,0.528,0.3941,0.5939,0.5205
shelter_326,shelter,0.8047,0.8542,0.7069,0.9726,0.9272
shelter_327,shelter,0.1499,0.2138,0.573,0.0988,0.1126
shelter_328,shelter,0.0901,0.3819,0.5059,0.6428,0.3091
shelter_329,shelter,0.8138,0.6592,0.6557,0.1483,0.5931
shelter_330,shelter,0.5688,0.9882,0.9289,0.6189,0.8144
shelter_331,shelter,0.425,0.6761,0.636,0.1961,0.4158
shelter_332,shelter,0.8454,0.9617,0.3406,0.9809,0.9462
shelter_333,shelter,0.3649,0.8584,0.4362,0.1511,0.384
shelter_334,shelter,0.858,0.5308,0.5372,0.9491,0.8757
shelter_335,shelter,0.9702,0.9955,0.8213,0.8203,0.9858
shelter_336,shelter,0.6682,0.998,0.5864,0.8185,0.8986
shelter_337,shelter,0.9702,0.9955,0.8213,0.8203,0.9858
shelter_338,shelter,0.8949,0.6797,0.5514,0.9475,0.9107
shelter_339,shelter,0.9702,0.9955,0.8213,0.8203,0.9858
shelter_340,shelter,0.8807,0.8712,0.6902,0.7499,0.8832
shelter_341,shelter,0.3225,0.2436,0.6482,0.1211,0.2193
shelter_342,shelter,0.3138,0.5475,0.6453,0.0213,0.1882
shelter_343,shelter,0.7852,0.6641,0.4008,0.8635,0.8128
shelter_344,shelter,0.1091,0.4947,0.3156,0.1105,0.1199
shelter_345,shelter,0.0187,0.1503,0.7295,0.0513,0.0387
shelter_346,shelter,0.2643,0.7953,0.6124,0.7959,0.6016
shelter_347,shelter,0.5073,0.0611,0.3274,0.4572,0.3278
shelter_348,shelter,0.588,0.8239,0.3909,0.498,0.616
shelter_349,shelter,0.2994,0.1124,0.7892,0.3162,0.2696
shelter_350,shelter,0.2134,0.3258,0.3406,0.5708,0.3215
shelter_351,shelter,0.103,0.5037,0.5215,0.1347,0.1558
shelter_352,shelter,0.5181,0.6107,0.7439,0.2225,0.4801
shelter_353,shelter,0.2535,0.1631,0.6154,0.7775,0.4235
shelter_354,shelter,0.0517,0.2331,0.4293,0.1105,0.0688
shelter_355,shelter,0.6201,0.4351,0.7213,0.9,0.7487
shelter_356,shelter,0.4327,0.7294,0.6622,0.2819,0.475
shelter_357,shelter,0.0673,0.075,0.3787,0.1755,0.0637
shelter_358,shelter,0.1187,0.0854,0.5333,0.003,0.0164
shelter_359,shelter,0.9846,0.7755,0.8722,0.9032,0.9684
shelter_360,shelter,0.0673,0.075,0.3787,0.1755,0.0637
shelter_361,shelter,0.5444,0.901,0.6874,0.687,0.7306
shelter_362,shelter,0.8759,0.8976,0.9364,0.5767,0.8706
shelter_363,shelter,0.103,0.5037,0.5215,0.1347,0.1558
shelter_364,shelter,0.9028,0.7998,0.8402,0.6562,0.8722
shelter_365,shelter,0.2994,0.1124,0.7892,0.3162,0.2696
shelter_366,shelter,0.5073,0.0611,0.3274,0.4572,0.3278
shelter_367,shelter,0.0905,0.2097,0.45,0.0325,0.0497
shelter_368,shelter,0.1576,0.186,0.3423,0.0961,0.0911
shelter_369,shelter,0.3225,0.2436,0.6482,0.1211,0.2193
shelter_370,shelter,0.2535,0.1631,0.6154,0.7775,0.4235
shelter_371,shelter,0.2134,0.3258,0.3406,0.5708,0.3215
shelter_372,shelter,0.9043,0.4154,0.6124,0.897,0.8615
shelter_373,shelter,0.4327,0.7294,0.6622,0.2819,0.475
shelter_374,shelter,0.0187,0.1503,0.7295,0.0513,0.0387
shelter_375,shelter,0.2554,0.5901,0.4449,0.4805,0.3953
shelter_376,shelter,0.2554,0.5901,0.4449,0.4805,0.3953
shelter_377,shelter,0.5073,0.0611,0.3274,0.4572,0.3278
shelter_378,shelter,0.9899,0.9744,0.8864,0.9041,0.9895
shelter_379,shelter,0.3751,0.4607,0.6768,0.7116,0.5446
shelter_380,shelter,0.5073,0.0611,0.3274,0.4572,0.3278
shelter_381,shelter,0.5073,0.0611,0.3274,0.4572,0.3278
shelter_382,shelter,0.0673,0.075,0.3787,0.1755,0.0637
shelter_383,shelter,0.8475,0.7241,0.5965,0.4761,0.7418
shelter_384,shelter,0.0763,0.6625,0.3543,0.1333,0.1495
shelter_385,shelter,0.0901,0.3819,0.5059,0.6428,0.3091
shelter_386,shelter,0.0763,0.6625,0.3543,0.1333,0.1495
shelter_387,shelter,0.3333,0.5706,0.6711,0.1838,0.3467
shelter_388,shelter,0.7586,0.4858,0.5264,0.4686,0.6337
shelter_389,shelter,0.0391,0.225,0.5955,0.1152,0.0761
shelter_390,shelter,0.0763,0.6625,0.3543,0.1333,0.1495
shelter_391,shelter,0.1499,0.2138,0.573,0.0988,0.1126
shelter_392,shelter,0.8047,0.8542,0.7069,0.9726,0.9272
shelter_393,shelter,0.425,0.6761,0.636,0.1961,0.4158
shelter_394,shelter,0.2483,0.2832,0.4587,0.6018,0.3647
shelter_395,shelter,0.1499,0.2138,0.573,0.0988,0.1126
shelter_396,shelter,0.2389,0.4221,0.5333,0.1584,0.226
shelter_397,shelter,0.1499,0.2138,0.573,0.0988,0.1126
shelter_398,shelter,0.8047,0.8542,0.7069,0.9726,0.9272
shelter_399,shelter,0.1499,0.2138,0.573,0.0988,0.1126
shelter_400,shelter,0.3876,0.6793,0.364,0.7075,0.5529
shelter_401,shelter,0.0391,0.225,0.5955,0.1152,0.0761
shelter_402,shelter,0.9592,0.8367,0.9364,0.701,0.9235
shelter_403,shelter,0.425,0.6761,0.636,0.1961,0.4158
shelter_404,shelter,0.8138,0.6592,0.6557,0.1483,0.5931
