facility_id,facility_type,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
school_655,school,0.1777,0.2036,0.0557,0.0331,0.0473
school_656,school,0.8168,0.7874,0.4089,0.8959,0.859
school_657,school,0.3231,0.2826,0.2911,0.2107,0.225
school_658,school,0.8767,0.1359,0.5974,0.9471,0.8187
school_659,school,0.4702,0.7562,0.5201,0.6114,0.6051
school_660,school,0.2702,0.1138,0.0984,0.2684,0.1497
school_661,school,0.8531,0.9984,0.8104,0.3901,0.884
school_662,school,0.2034,0.2795,0.2266,0.6775,0.326
school_663,school,0.1712,0.0785,0.0516,0.3838,0.1211
school_664,school,0.2034,0.2795,0.2266,0.6775,0.326
school_665,school,0.226,0.4146,0.0577,0.5321,0.2901
school_666,school,0.9998,0.9844,0.9437,0.8381,0.9939
school_667,school,0.9181,0.8229,0.9671,0.8535,0.9367
school_668,school,0.7292,0.612,0.9157,0.7028,0.7767
school_669,school,0.8333,0.8519,0.9352,0.9732,0.9527
school_670,school,0.5296,0.5448,0.961,0.6915,0.6783
school_671,school,0.8349,0.903,0.9256,0.9402,0.9458
school_672,school,0.8564,0.8061,0.9144,0.7992,0.8945
school_673,school,0.9998,0.9844,0.9437,0.8381,0.9939
school_674,school,0.7142,0.4477,0.8057,0.8205,0.7677
school_675,school,0.9751,0.9241,0.9754,0.9688,0.9903
school_676,school,0.3321,0.2744,0.6043,0.3677,0.34
school_677,school,0.8041,0.7529,0.9583,0.8464,0.883
school_678,school,0.6097,0.8136,0.823,0.4041,0.6594
school_679,school,0.0613,0.7292,0.7663,0.5491,0.3779
school_680,school,0.5231,0.188,0.8923,0.3582,0.4507
school_681,school,0.4742,0.7467,0.8104,0.727,0.6884
school_682,school,0.0722,0.6284,0.735,0.4254,0.3085
school_683,school,0.7499,0.7907,0.9754,0.932,0.9041
school_684,school,0.9213,0.4045,0.987,0.9144,0.9087
school_685,school,0.0911,0.2945,0.5165,0.103,0.0984
school_686,school,0.0219,0.443,0.8156,0.3659,0.2069
school_687,school,0.8584,0.8649,0.9892,0.9045,0.94
school_688,school,0.5966,0.7172,0.9858,0.757,0.7661
school_689,school,0.4556,0.5868,0.8646,0.8116,0.6852
school_690,school,0.6284,0.5897,0.7915,0.2205,0.5306
school_691,school,0.9452,0.9949,0.9858,0.64,0.9647
school_692,school,0.7191,0.4963,0.9183,0.602,0.7162
school_693,school,0.4828,0.8706,0.6124,0.6822,0.6815
school_694,school,0.8817,0.9755,0.9953,0.5677,0.9063
school_695,school,0.3239,0.2318,0.7996,0.6884,0.4755
school_696,school,0.7724,0.7095,0.9671,0.3361,0.7093
school_697,school,0.7529,0.2724,0.963,0.7509,0.7396
school_698,school,0.8643,0.6077,0.961,0.9998,0.9744
school_699,school,0.859,0.6598,0.9785,0.9296,0.9193
school_700,school,0.7012,0.4554,0.9841,0.5917,0.7063
school_701,school,0.4686,0.7404,0.9437,0.2022,0.5067
school_702,school,0.6075,0.0901,0.7398,0.8144,0.6055
school_703,school,0.1164,0.0079,0.6402,0.4773,0.101
school_704,school,0.9927,0.8107,0.9815,0.9824,0.9923
school_705,school,0.2769,0.3039,0.8785,0.6613,0.4718
school_706,school,0.8197,0.7673,0.9077,0.4292,0.7637
school_707,school,0.2262,0.6363,0.827,0.4026,0.4197
school_708,school,0.8093,0.9071,0.8817,0.5966,0.8442
school_709,school,0.4828,0.8706,0.6124,0.6822,0.6815
school_710,school,0.8963,0.4619,0.961,0.8479,0.8801
school_711,school,0.5262,0.8718,0.9583,0.8136,0.798
school_712,school,0.8487,0.9765,0.9701,0.6483,0.9099
school_713,school,0.6442,0.8724,0.987,0.3899,0.712
school_714,school,0.811,0.9041,0.8797,0.9613,0.944
school_715,school,0.7576,0.6647,0.9096,0.6645,0.7907
school_716,school,0.0698,0.1653,0.7691,0.283,0.1542
school_717,school,0.4832,0.5505,0.5323,0.9022,0.6895
school_718,school,0.2262,0.6363,0.827,0.4026,0.4197
school_719,school,0.8615,0.8495,0.9701,0.7905,0.9055
school_720,school,0.9659,0.1521,0.9335,0.8789,0.8803
school_721,school,0.3227,0.2394,0.8321,0.8284,0.5412
school_722,school,0.3219,0.7444,0.8195,0.9243,0.7132
school_723,school,0.5249,0.9797,0.938,0.7611,0.8292
school_724,school,0.5966,0.7172,0.9858,0.757,0.7661
school_725,school,0.0219,0.443,0.8156,0.3659,0.2069
school_726,school,0.7142,0.4477,0.8057,0.8205,0.7677
school_727,school,0.697,0.9454,0.9833,0.6138,0.8321
school_728,school,0.6087,0.8057,0.9805,0.572,0.7302
school_729,school,0.5467,0.8921,0.9059,0.342,0.6467
school_730,school,0.8144,0.4649,0.9256,0.7243,0.799
school_731,school,0.0972,0.4079,0.6978,0.673,0.3675
school_732,school,0.9211,0.458,0.886,0.5059,0.7884
school_733,school,0.5193,0.4331,0.7201,0.3623,0.4911
school_734,school,0.0191,0.1314,0.6472,0.2465,0.0864
school_735,school,0.9781,0.7864,0.987,0.8673,0.9655
school_736,school,0.8487,0.9765,0.9701,0.6483,0.9099
school_737,school,0.8809,0.9089,0.964,0.9836,0.9773
school_738,school,0.8564,0.8061,0.9144,0.7992,0.8945
school_739,school,0.2327,0.3734,0.8533,0.2779,0.311
school_740,school,0.8101,0.9923,0.9841,0.8095,0.9471
school_741,school,0.4828,0.8706,0.6124,0.6822,0.6815
school_742,school,0.0613,0.7292,0.7663,0.5491,0.3779
